_id,bus_id,timestamp,latitud,longitud,velocidad,direccion,estado_motor,nivel_combustible,temperatura_motor,alerta,padron,placa,combustible,marca,chip (GPS),sede,estado_bus
6833ec7481e5594647d5a0b9,15,2025-05-25 00:00:00,-12.048974319139166,-77.04580419122648,63.96,141,encendido,39,109,"{'tipo': 'zona_critica', 'resuelto': False}",114.0,G6H456,GNV,VW FPT PB,si,Huaycan,En ruta
6833ec7481e5594647d5a0ba,14,2025-05-25 00:00:10,-12.045146278070323,-77.04168707731584,24.68,323,apagado,33,95,"{'tipo': 'zona_critica', 'resuelto': False}",113.0,D4E771,GNV,VW FPT PB,si,Huaycan,En ruta
6833ec7481e5594647d5a0bb,16,2025-05-25 00:00:20,-12.048722023273367,-77.0469094344687,22.7,338,encendido,84,97,"{'tipo': 'zona_critica', 'resuelto': True}",115.0,J2K340,GNV,VW FPT PB,si,Huaycan,En ruta
6833ec7481e5594647d5a0bc,8,2025-05-25 00:00:30,-12.058105898434297,-77.03325314254313,93.66,10,encendido,23,97,"{'tipo': 'temperatura_alta', 'resuelto': True}",107.0,R8S215,GNV,GOLDEN DRAGON GNV ACCESO,si,Huaycan,En ruta
6833ec7481e5594647d5a0bd,38,2025-05-25 00:00:40,-12.055584881642655,-77.04460504421,14.95,74,apagado,37,73,"{'tipo': 'temperatura_alta', 'resuelto': True}",,,,,,,
6833ec7481e5594647d5a0be,4,2025-05-25 00:00:50,-12.040740785735176,-77.0347584073684,8.42,149,encendido,43,91,"{'tipo': 'temperatura_alta', 'resuelto': True}",103.0,H9J206,GNV,GOLDEN DRAGON GNV ACCESO,si,Huaycan,En ruta
6833ec7481e5594647d5a0bf,21,2025-05-25 00:01:00,-12.05732792855896,-77.04666064499351,90.34,110,apagado,78,69,"{'tipo': 'temperatura_alta', 'resuelto': True}",120.0,U1V224,GNV,VW FPT PB,si,Cogorno,En ruta
6833ec7481e5594647d5a0c0,27,2025-05-25 00:01:10,-12.041108089902643,-77.03505530154912,79.68,293,encendido,96,92,"{'tipo': 'temperatura_alta', 'resuelto': False}",126.0,K5N192,GNV,UMMINS GNV,si,Cogorno,En ruta
6833ec7481e5594647d5a0c1,23,2025-05-25 00:01:20,-12.057022200898787,-77.03392460140249,32.66,98,encendido,58,86,"{'tipo': 'temperatura_alta', 'resuelto': False}",122.0,Y3Z146,GNV,VW FPT PB,si,Cogorno,En ruta
6833ec7481e5594647d5a0c2,22,2025-05-25 00:01:30,-12.050813517015383,-77.04762879675988,24.76,157,apagado,99,64,"{'tipo': 'zona_critica', 'resuelto': True}",121.0,W6X975,GNV,VW FPT PB,si,Cogorno,En ruta
6833ec7481e5594647d5a0c3,16,2025-05-25 00:01:40,-12.049248533054952,-77.03499509327139,24.47,166,encendido,64,67,"{'tipo': 'velocidad_excesiva', 'resuelto': True}",115.0,J2K340,GNV,VW FPT PB,si,Huaycan,En ruta
6833ec7481e5594647d5a0c4,22,2025-05-25 00:01:50,-12.041777465619614,-77.04515005296635,14.14,162,apagado,4,97,"{'tipo': 'temperatura_alta', 'resuelto': True}",121.0,W6X975,GNV,VW FPT PB,si,Cogorno,En ruta
6833ec7481e5594647d5a0c5,13,2025-05-25 00:02:00,-12.053594107436231,-77.0469597725277,89.66,67,apagado,56,66,"{'tipo': 'temperatura_alta', 'resuelto': False}",112.0,B3C802,GNV,GOLDEN DRAGON GNV ACCESO,si,Huaycan,En ruta
6833ec7481e5594647d5a0c6,12,2025-05-25 00:02:10,-12.057340237012054,-77.03472494544415,33.05,167,encendido,12,88,"{'tipo': 'velocidad_excesiva', 'resuelto': True}",111.0,Z1A593,GNV,GOLDEN DRAGON GNV ACCESO,si,Huaycan,En ruta
6833ec7481e5594647d5a0c7,23,2025-05-25 00:02:20,-12.05491853241548,-77.0331997137719,9.21,317,encendido,87,95,"{'tipo': 'temperatura_alta', 'resuelto': True}",122.0,Y3Z146,GNV,VW FPT PB,si,Cogorno,En ruta
6833ec7481e5594647d5a0c8,26,2025-05-25 00:02:30,-12.043452662899526,-77.03568883837927,15.08,199,encendido,27,116,"{'tipo': 'zona_critica', 'resuelto': True}",125.0,G3J768,GNV,VW FPT PB,si,Cogorno,En ruta
6833ec7481e5594647d5a0c9,8,2025-05-25 00:02:40,-12.051684283363238,-77.04070129022301,12.87,140,encendido,80,70,"{'tipo': 'temperatura_alta', 'resuelto': False}",107.0,R8S215,GNV,GOLDEN DRAGON GNV ACCESO,si,Huaycan,En ruta
6833ec7481e5594647d5a0ca,4,2025-05-25 00:02:50,-12.05544909108792,-77.0407558172978,17.9,218,apagado,98,62,"{'tipo': 'zona_critica', 'resuelto': False}",103.0,H9J206,GNV,GOLDEN DRAGON GNV ACCESO,si,Huaycan,En ruta
6833ec7481e5594647d5a0cb,35,2025-05-25 00:03:00,-12.059259698383046,-77.03624545615554,53.0,319,apagado,16,105,"{'tipo': 'velocidad_excesiva', 'resuelto': True}",134.0,H3K550,GNV,UMMINS GNV,si,Cogorno,En ruta
6833ec7481e5594647d5a0cc,20,2025-05-25 00:03:10,-12.059928109247496,-77.03611497902146,87.48,207,apagado,96,87,"{'tipo': 'zona_critica', 'resuelto': False}",119.0,S5T689,GNV,VW FPT PB,si,Cogorno,En ruta
6833ec7481e5594647d5a0cd,26,2025-05-25 00:03:20,-12.04480634072228,-77.04179361455215,104.63,161,encendido,47,76,"{'tipo': 'temperatura_alta', 'resuelto': False}",125.0,G3J768,GNV,VW FPT PB,si,Cogorno,En ruta
6833ec7481e5594647d5a0ce,38,2025-05-25 00:03:30,-12.045288829478148,-77.04785319938428,114.56,152,apagado,50,116,"{'tipo': 'zona_critica', 'resuelto': False}",,,,,,,
6833ec7481e5594647d5a0cf,32,2025-05-25 00:03:40,-12.049272581667228,-77.04380294594313,59.35,86,encendido,32,103,"{'tipo': 'zona_critica', 'resuelto': False}",131.0,Z9B205,GNV,UMMINS GNV,si,Cogorno,En ruta
